date	open	high	close	low	volume	price_change	p_change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20
2017-12-22	10.76	10.88	10.78	10.7	20787.14	0.0	0.0	11.302	11.743	12.013	43422.17	26824.73	21965.51
2017-12-21	10.9	10.9	10.78	10.6	32623.0	-0.17	-1.55	11.58	11.879	12.112	40927.76	25888.64	22341.76
2017-12-20	11.64	11.64	10.95	10.76	104462.58	-0.85	-7.2	11.86	12.006	12.228	36242.3	24064.75	24106.91
2017-12-19	12.21	12.21	11.8	11.67	45707.11	-0.4	-3.28	12.11	12.103	12.36	17300.78	15280.3	24132.69
2017-12-18	12.17	12.35	12.2	12.08	13531.0	0.03	0.25	12.188	12.104	12.525	10553.38	12637.19	23348.98
2017-12-15	12.12	12.2	12.17	12.1	8315.12	-0.01	-0.08	12.184	12.111	12.7	10227.28	12921.41	23015.25
2017-12-14	12.2	12.3	12.18	12.08	9195.68	-0.02	-0.16	12.178	12.158	12.886	10849.51	13326.01	23594.49
2017-12-13	12.09	12.29	12.2	12.07	9755.0	0.01	0.08	12.152	12.2	13.076	11887.21	14331.54	24105.01
2017-12-12	12.22	12.34	12.19	12.09	11970.12	0.01	0.08	12.096	12.242	13.266	13259.81	15291.26	24727.87
2017-12-11	12.15	12.23	12.18	12.0	11900.5	0.04	0.33	12.02	12.267	13.456	14720.99	15671.14	24780.77
2017-12-08	12.15	12.23	12.14	11.9	11426.26	0.09	0.75	12.038	12.282	13.65	15615.53	17106.29	24628.98
2017-12-07	11.95	12.25	12.05	11.92	14384.15	0.13	1.09	12.138	12.344	13.844	15802.5	18794.88	24489.37
2017-12-06	11.84	11.95	11.92	11.7	16618.03	0.11	0.93	12.248	12.449	14.044	16775.88	24149.07	24193.31
2017-12-05	12.18	12.27	11.81	11.79	19276.01	-0.46	-3.75	12.388	12.616	14.251	17322.7	32985.07	24068.81
2017-12-04	12.7	12.75	12.27	12.25	16373.2	-0.37	-2.93	12.514	12.945	14.469	16621.3	34060.78	24016.16
2017-12-01	12.49	12.73	12.64	12.45	12361.1	0.04	0.32	12.526	13.288	14.664	18597.06	33109.1	23538.06
2017-11-30	12.53	12.89	12.6	12.45	19251.04	-0.02	-0.16	12.55	13.614	14.84	21787.26	33862.98	23507.48
2017-11-29	12.46	12.66	12.62	12.33	19352.14	0.18	1.45	12.65	13.952	15.021	31522.27	33878.47	23357.82
2017-11-28	12.38	12.49	12.44	12.31	15769.0	0.11	0.89	12.844	14.29	15.212	48647.45	34164.49	23232.47
2017-11-27	12.68	12.85	12.33	12.33	26252.0	-0.43	-3.37	13.376	14.644	15.413	51500.25	33890.39	23208.89
2017-11-24	12.97	12.97	12.76	12.7	28312.14	-0.34	-2.6	14.05	15.017	15.6	47621.14	32151.67	22552.82
2017-11-23	13.18	13.41	13.1	12.55	67926.06	-0.49	-3.61	14.678	15.344	15.78	45938.69	30183.85	21527.42
2017-11-22	15.14	15.14	13.59	13.59	104978.05	-1.51	-10.0	15.254	15.638	15.943	36234.68	24237.55	18659.06
2017-11-21	15.7	15.73	15.1	15.0	30033.02	-0.6	-3.82	15.736	15.885	16.087	19681.53	15152.55	13785.66
2017-11-20	15.72	15.77	15.7	15.55	6856.44	-0.2	-1.26	15.912	15.993	16.154	16280.53	13971.55	12603.46
2017-11-17	15.96	15.98	15.9	15.56	19899.89	-0.08	-0.5	15.984	16.039	16.19	16682.19	13967.01	12635.14
2017-11-16	15.98	15.98	15.98	15.82	19406.0	-0.02	-0.12	16.01	16.065	16.211	14429.01	13151.97	11988.95
2017-11-15	15.97	16.02	16.0	15.8	22212.31	0.02	0.12	16.022	16.09	16.218	12240.41	12837.17	11879.81
2017-11-14	16.06	16.08	15.98	15.86	13028.01	-0.08	-0.5	16.034	16.133	16.243	10623.57	12300.46	11318.99
2017-11-13	16.01	16.11	16.06	15.95	8864.75	0.03	0.19	16.074	16.181	16.279	11662.57	12527.38	11115.78
2017-11-10	16.03	16.06	16.03	15.95	8634.0	-0.01	-0.06	16.094	16.182	16.306	11251.83	12953.98	11275.6
2017-11-09	16.04	16.07	16.04	15.95	8463.0	-0.02	-0.12	16.12	16.216	16.346	11874.93	12870.98	11193.43
2017-11-08	16.16	16.18	16.06	16.01	14128.1	-0.12	-0.74	16.158	16.247	16.387	13433.92	13080.58	11236.36
2017-11-07	16.35	16.35	16.18	16.0	18222.99	0.02	0.12	16.232	16.289	16.431	13977.34	12418.77	11400.84
2017-11-06	16.16	16.21	16.16	16.05	6811.07	0.0	0.0	16.288	16.314	16.467	13392.2	11235.37	11071.66
2017-11-03	16.18	16.25	16.16	16.04	11749.51	-0.07	-0.43	16.27	16.34	16.501	14656.13	11303.27	11330.51
2017-11-02	16.49	16.53	16.23	16.11	16257.92	-0.2	-1.22	16.312	16.356	16.53	13867.03	10825.92	11181.5
2017-11-01	16.55	16.64	16.43	16.21	16845.23	-0.03	-0.18	16.336	16.346	16.554	12727.24	10922.45	10789.91
2017-10-31	16.03	16.82	16.46	16.02	15297.25	0.39	2.43	16.346	16.353	16.568	10860.2	10337.53	10444.18
2017-10-30	16.4	16.48	16.07	16.03	13130.73	-0.3	-1.83	16.34	16.376	16.578	9078.55	9704.19	10294.02
2017-10-27	16.39	16.47	16.37	16.27	7804.01	0.02	0.12	16.41	16.429	16.606	7950.41	9597.21	10788.44
2017-10-26	16.45	16.48	16.35	16.33	10559.0	-0.13	-0.79	16.4	16.476	16.635	7784.8	9515.87	11246.09
2017-10-25	16.53	16.62	16.48	16.4	7510.03	0.05	0.3	16.356	16.527	16.671	9117.66	9392.13	11833.5
2017-10-24	16.44	16.65	16.43	16.33	6388.99	0.01	0.06	16.36	16.572	16.715	9814.86	10382.91	12699.44
2017-10-23	16.29	16.6	16.42	16.28	7490.0	0.1	0.61	16.412	16.619	16.765	10329.82	10907.94	14405.43
2017-10-20	16.1	16.38	16.32	16.1	6976.0	0.19	1.18	16.448	16.661	16.808	11244.02	11357.76	14948.34
2017-10-19	16.5	16.53	16.13	16.1	17223.29	-0.37	-2.24	16.552	16.704	16.857	11246.94	11537.09	16181.67
2017-10-18	16.7	16.75	16.5	16.47	10996.0	-0.19	-1.14	16.698	16.761	16.917	9666.61	10657.37	16664.34
2017-10-17	16.59	16.74	16.69	16.57	8963.81	0.09	0.54	16.784	16.783	16.955	10950.96	10550.83	17185.65
2017-10-16	16.88	16.88	16.6	16.6	12061.01	-0.24	-1.43	16.826	16.78	16.984	11486.05	10883.85	19301.73
2017-10-13	16.89	16.9	16.84	16.81	6990.61	-0.02	-0.12	16.874	16.783	17.037	11471.49	11979.66	21430.0
2017-10-12	16.91	16.93	16.86	16.8	9321.6	-0.07	-0.41	16.856	16.794	17.103	11827.24	12976.3	27458.12
2017-10-11	16.83	17.02	16.93	16.83	17417.75	0.03	0.18	16.824	16.815	17.109	11648.14	14274.86	28515.48
2017-10-10	16.84	16.94	16.9	16.79	11639.29	0.06	0.36	16.782	16.858	17.118	10150.71	15015.97	28873.9
2017-10-09	16.96	16.97	16.84	16.79	11988.21	0.09	0.54	16.734	16.911	17.118	10281.66	17902.92	28784.33
2017-09-29	16.7	16.83	16.75	16.7	8769.36	0.05	0.3	16.692	16.954	17.12	12487.82	18538.92	29071.05
2017-09-28	16.74	16.78	16.7	16.66	8426.07	-0.02	-0.12	16.732	17.009	17.129	14125.35	20826.24	29405.21
2017-09-27	16.66	16.77	16.72	16.64	9930.63	0.06	0.36	16.806	17.072	17.141	16901.58	22671.3	30025.57
2017-09-26	16.61	16.75	16.66	16.6	12294.01	0.03	0.18	16.934	17.126	17.161	19881.23	23820.46	30854.16
2017-09-25	16.9	16.9	16.63	16.61	23019.04	-0.32	-1.89	17.088	17.188	17.173	25524.19	27719.61	30911.79
2017-09-22	17.08	17.14	16.95	16.89	16957.0	-0.12	-0.7	17.216	17.29	17.184	24590.02	30880.34	30609.88
2017-09-21	17.36	17.36	17.07	17.03	22307.24	-0.29	-1.67	17.286	17.411	17.177	27527.12	41939.94	30288.11
2017-09-20	17.31	17.4	17.36	17.2	24828.87	-0.07	-0.4	17.338	17.403	17.158	28441.02	42756.1	29667.84
2017-09-19	17.2	17.68	17.43	17.2	40508.81	0.16	0.93	17.318	17.377	17.128	27759.68	42731.84	29155.15
2017-09-18	17.2	17.4	17.27	17.17	18348.18	-0.03	-0.17	17.288	17.324	17.104	29915.03	39665.74	28689.33
2017-09-15	17.38	17.56	17.3	17.2	31642.52	-0.03	-0.17	17.364	17.286	17.092	37170.66	39603.17	28291.67
